央视台,#genre#
CGTN,https://global.cgtn.cicc.media.caton.cloud/master/cgtn.m3u8
CGTN,https://h5cul1yar48um3t.wcetv.com/hls/cgtn.m3u8
CGTN Arabic,https://arabic-livews.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd/playlist.m3u8
CGTN Arabic,https://news.cgtn.com/resource/live/arabic/cgtn-a.m3u8
CGTN Arabic,https://dash3.antik.sk/live/test_cgtn_arb_tizen/playlist.m3u8
CGTN Documentary,https://amg00405-rakutentv-cgtndocumentary-rakuten-0ql8j.amagi.tv/master.m3u8
CGTN Documentary,https://english-livebkali.cgtn.com/live/doccgtn.m3u8
CGTN Documentary,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
CGTN Documentary,https://streams.comclark.com/pknsd/cgtn_documentary/playlist.m3u8
CGTN Documentary,https://dash3.antik.sk/live/test_cgtn_doc/playlist.m3u8
CGTN Documentary,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-documentary.m3u8
CGTN Documentary,https://h5cul1yar48um3t.wcetv.com/hls/cgtnd.m3u8
CGTN French,http://145.239.5.177/214/index.m3u8
CGTN French,https://francais-livews.cgtn.com/hls/LSvev95OuFZtKLc6CeKEFYXj220802LSTeV6PO0Ut9r71Uq3k5goCA220802cd/playlist.m3u8
CGTN French,https://news.cgtn.com/resource/live/french/cgtn-f.m3u8
CGTN French,https://amg01314-cgtn-amg01314c2-rakuten-us-1319.playouts.now.amagi.tv/cgtn-fr-rakuten/playlist.m3u8
CGTN French,https://dash4.antik.sk/live/test_cgtn_fra_tizen/playlist.m3u8
CGTN French,https://h5cul1yar48um3t.wcetv.com/hls/cgtnf.m3u8
CGTN Global Biz,https://fastlive.cctvplus.com/out/v1/2b3d8a0c805d437f9dc85b764c2ac599/index.m3u8
CGTN Global Biz,https://amg01314-amg01314c6-distrotv-us-10220.playouts.now.amagi.tv/playlist/amg01314-cgtn-cgtnglobalbiz-distrotvus/playlist.m3u8
CGTN Russian,https://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd/playlist.m3u8
CGTN Russian,https://news.cgtn.com/resource/live/russian/cgtn-r.m3u8
CGTN Russian,https://dash3.antik.sk/live/test_cgtn_rus_tizen/playlist.m3u8
CGTN Spanish,http://45.165.82.19/test/index.m3u8
